coin,price,oi_usd,volume_usd,funding_pct,change_24h
BTC,64620.0,1429331355,13086069587,0.0002,-8.98
HYPE,35.025,823667233,985758673,0.0013,3.69
ETH,1904.1,790606456,4795401148,0.0001,-9.22
SOL,76.91,305415854,1983823128,-0.0088,-15.49
PAXG,4805.8,82956374,33786561,0.0013,-1.91
XRP,1.278,60967557,449102869,-0.0017,-11.87
LIT,1.4935,45492061,38502016,0.0013,-1.68
ZEC,205.4,43696726,127713627,0.0013,-16.25
PUMP,0.001907,39872445,66960650,0.0013,-14.6
FARTCOIN,0.18134,29511957,54228322,-0.0014,-15.64
ASTER,0.4923,28502872,39351375,0.0013,-10.16
BNB,621.23,25366117,55303815,0.0013,-10.29
MON,0.017234,24821358,17383272,-0.0156,-10.67
AVAX,8.3073,22477754,37397110,0.0013,-13.15
AAVE,105.05,22445714,49622264,0.0013,-13.25
UNI,3.1179,21465768,29575757,0.0013,-16.7
XMR,296.46,20923275,19893449,0.0013,-18.63
ZRO,1.4499,20545122,11058823,0.0013,-15.15
XPL,0.077626,18172880,28434757,0.0013,-17.42
LINK,8.0781,17536938,43904155,0.0013,-10.95
DOGE,0.090325,17431765,121116871,0.0,-11.64
LTC,50.401,15963715,32180189,0.0013,-13.35
ENA,0.11288,15113438,22384089,-0.0001,-14.89
ADA,0.25035,14746323,45138121,-0.0008,-11.25
WLFI,0.1135,13345041,16133008,-0.0009,-12.79
NEAR,0.96204,12111221,20978183,0.0013,-15.26
SUI,0.89355,11343462,69944620,-0.0004,-15.93
DASH,34.307,10607715,1804152,0.0,-14.02
kPEPE,0.003493,9616684,49537093,0.0013,-14.66
TRX,0.2702,8431627,5823928,-0.0022,-3.92
TON,1.2397,7668794,7605689,0.0006,-9.52
CRV,0.23132,6802041,13451450,0.0013,-12.49
TAO,161.01,6748411,12902297,-0.0048,-13.34
DOT,1.2407,6691609,8671328,0.0013,-13.62
TRUMP,3.3333,6398209,11117764,-0.0052,-18.77
WLD,0.34303,6396978,7888319,0.001,-14.4
VIRTUAL,0.52428,6254298,10310621,0.0003,-15.02
BCH,454.75,5548186,14136528,0.0013,-13.68
APT,1.0248,5310475,7079298,-0.0035,-14.81
IP,1.1942,5309038,8552596,0.0013,-5.91
CC,0.16336,5278442,6405694,0.0013,-2.04
WIF,0.21095,4841621,10101511,-0.0033,-13.51
RESOLV,0.077447,4832021,3368786,0.0013,-2.85
MEGA,0.12543,4156120,1068129,0.0013,-0.68
INJ,3.02,4065863,3668549,0.0013,-12.67
PENDLE,1.1515,3868381,4254290,-0.0032,-16.41
kBONK,0.005811,3661739,9354870,0.0013,-14.72
JUP,0.15435,3627528,9019558,0.0013,-17.8
LDO,0.32348,3490618,6049546,0.0013,-18.57
OP,0.17439,3422806,2940763,0.0013,-18.6
MORPHO,1.1089,3285751,1866413,0.0013,-4.53
XLM,0.1522,3281310,4975933,0.0013,-8.0
ETHFI,0.43582,3244978,2519206,0.0013,-12.11
PURR,0.074621,3171186,2417530,0.0013,-6.36
kSHIB,0.005729,2965474,7430357,0.0013,-12.12
ATOM,1.7875,2849677,2315087,0.0013,-10.74
HBAR,0.080238,2782134,3465036,-0.0012,-8.24
ARB,0.10799,2739627,12510034,-0.001,-13.48
ONDO,0.23072,2707566,3634049,-0.0016,-12.55
STRK,0.04667,2644521,2142023,-0.0059,-14.13
STBL,0.033082,2494450,732829,0.0013,3.01
SYRUP,0.2527,2442277,1408414,0.0013,-12.65
AXS,1.3145,2420850,8794088,0.0013,-12.28
POL,0.090975,2247324,6309544,-0.0002,-14.98
HEMI,0.01081,2202438,501864,0.0013,2.27
MET,0.1982,2195717,2333923,-0.0007,-12.3
BERA,0.37536,2181386,2545508,0.0013,-11.25
AERO,0.30142,2145338,1964376,0.0013,-13.05
HMSTR,0.000167,2138154,99661,0.0013,-12.57
TIA,0.31189,2083756,6551828,0.001,-13.51
